PLACE,lat,lon
Carlton 3053,-37.8004228,144.9684343
City of Melbourne,-37.8142853,144.9665341
Docklands 3008,-37.8175423,144.9394923
East Melbourne 3002,-37.812498,144.9858851
Kensington / Flemington 3031,-37.7873517,144.9317989
Kensington/ Flemingon 3031,,
Melbourne 3000,-38.3733944,145.1261076
North Melbourne 3051 / West Melbourne 3003,,
Parkville 3052,-37.7871148,144.9515533
South Wharf / Southbank 3006,,
South Yarra 3141 / Melbourne (St Kilda Road) 3004,,
South Yarra 3141 / Melbourne/St Kilda Road 3004,,
Southbank/ South Wharf 3006,-37.8275306,144.953822
Flemingon 3031,,
Flemington 3031,-37.7867587,144.9193668
Kensington,-37.7939378,144.9305645
Melbourne,-37.8142454,144.9631732
Melbourne (St Kilda Road) 3004,-37.835615,144.975873
North Melbourne 3051,-37.8076092,144.9423514
South Wharf,-37.8253279,144.9493432
South Wharf 3006,-37.8253279,144.9493432
South Yarra 3141,-37.8377695,144.9918537
Southbank,-37.8253618,144.9640203
Southbank 3006,-37.8253618,144.9640203
St Kilda Road 3004,-37.8383381,144.9765231
West Melbourne 3003,-37.808747,144.9238207
